,Fruits & vegetables,Meat,Milk products,Canned vegetables,Canned meat,Frozen goods,Beer,Wine,Soda drinks,Fish,Textile
0,No,Yes,Yes,No,No,No,No,No,No,No,Yes
1,No,Yes,No,No,No,No,No,No,No,No,Yes
2,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No
3,No,No,Yes,No,No,No,No,Yes,No,No,No
4,No,No,No,No,No,No,No,No,No,No,No
5,No,Yes,No,No,No,No,No,Yes,No,Yes,No
6,Yes,No,No,No,No,No,No,No,Yes,No,No
7,No,No,No,No,No,No,Yes,No,No,No,No
8,Yes,No,No,No,No,Yes,No,No,No,No,No
9,Yes,No,No,No,No,No,No,No,No,Yes,No
10,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No
11,Yes,No,No,No,No,No,No,No,No,Yes,No
12,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No
13,No,No,No,No,No,No,No,No,Yes,Yes,No
14,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No
15,No,No,No,No,No,Yes,Yes,No,Yes,No,No
16,Yes,No,No,Yes,No,No,No,No,No,Yes,No
17,No,No,No,No,No,No,No,No,No,Yes,No
18,No,No,No,No,No,No,Yes,No,No,Yes,No
19,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes
20,No,No,No,No,No,Yes,No,No,No,Yes,No
21,No,No,No,No,No,No,No,Yes,No,No,Yes
22,No,No,No,No,No,No,No,No,No,Yes,No
23,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
24,No,No,No,No,No,No,Yes,No,No,No,Yes
25,No,No,Yes,No,No,Yes,Yes,No,No,No,No
26,No,Yes,No,No,No,No,No,Yes,No,No,Yes
27,No,No,No,No,No,No,No,No,No,No,No
28,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes
29,No,No,No,No,Yes,No,No,No,No,No,No
30,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No
31,No,No,No,No,No,Yes,No,Yes,No,No,No
32,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No
33,Yes,No,No,No,No,No,No,No,No,No,No
34,No,Yes,No,No,No,No,No,No,Yes,No,No
35,No,No,No,No,No,No,No,No,No,No,No
36,Yes,No,No,No,No,No,No,No,No,No,No
37,No,Yes,No,No,No,No,No,No,No,No,No
38,No,No,No,No,No,No,No,No,No,Yes,Yes
39,No,No,No,No,No,No,No,Yes,No,No,Yes
40,No,Yes,No,No,No,No,Yes,No,No,No,No
41,No,No,No,No,No,No,No,No,Yes,No,No
42,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
43,Yes,No,No,No,Yes,No,No,No,No,No,No
44,Yes,Yes,No,No,No,No,No,No,No,No,No
45,No,No,No,No,No,No,No,Yes,No,No,No
46,No,No,No,No,No,No,No,No,No,Yes,No
47,No,No,No,No,No,Yes,No,Yes,No,No,Yes
48,No,No,No,No,No,No,No,Yes,Yes,No,Yes
49,No,No,No,No,No,Yes,No,No,No,No,No
50,No,No,No,No,No,Yes,No,No,No,No,No
51,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No
52,No,Yes,No,No,No,No,No,Yes,Yes,No,No
53,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No
54,No,No,Yes,No,No,No,Yes,No,No,No,No
55,No,No,No,No,No,No,No,Yes,No,No,No
56,Yes,No,No,No,No,No,No,No,No,No,No
57,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No
58,No,No,No,No,No,No,No,Yes,No,Yes,Yes
59,No,No,No,No,No,No,No,No,No,No,Yes
60,No,No,No,No,No,No,No,No,Yes,No,No
61,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes
62,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No
63,No,No,No,No,No,No,No,Yes,No,No,Yes
64,Yes,No,Yes,No,No,No,No,No,No,No,Yes
65,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
66,No,No,No,No,Yes,No,No,No,Yes,Yes,No
67,No,No,No,No,No,No,Yes,No,No,No,No
68,Yes,No,Yes,No,No,No,No,No,No,No,No
69,Yes,No,Yes,Yes,No,No,No,No,No,No,No
70,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes
71,No,No,No,No,Yes,No,No,No,No,No,No
72,No,No,No,No,No,Yes,No,No,No,No,No
73,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes
74,No,No,No,No,No,Yes,No,No,No,Yes,No
75,No,No,No,No,No,Yes,No,Yes,No,No,Yes
76,No,No,No,No,No,Yes,No,No,No,No,No
77,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No
78,No,No,No,No,No,Yes,No,No,No,Yes,No
79,No,No,No,Yes,No,Yes,Yes,No,No,No,No
80,No,No,No,No,No,No,No,No,No,No,No
81,Yes,No,No,No,No,No,No,No,No,No,No
82,Yes,No,No,No,No,No,No,No,No,Yes,No
83,No,No,No,No,Yes,No,No,No,No,Yes,No
84,No,No,No,No,No,No,Yes,No,No,No,No
85,No,Yes,No,No,No,Yes,No,No,No,Yes,No
86,No,No,No,No,No,No,No,No,No,No,No
87,No,No,No,No,No,Yes,No,No,Yes,No,No
88,No,No,No,No,No,No,No,No,No,No,No
89,No,No,No,No,No,No,No,Yes,Yes,No,Yes
90,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No
91,No,No,No,No,No,No,No,No,No,No,No
92,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No
93,No,Yes,No,No,No,No,Yes,No,No,No,No
94,Yes,Yes,No,No,No,No,No,No,No,No,No
95,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
96,No,No,Yes,No,No,No,No,No,Yes,No,Yes
97,No,No,No,Yes,No,Yes,Yes,No,No,No,No
98,No,Yes,No,No,No,Yes,No,No,Yes,No,No
99,No,No,No,Yes,No,No,No,Yes,No,No,No
100,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes
101,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
102,No,No,Yes,No,No,No,No,No,No,No,No
103,No,No,Yes,No,Yes,No,No,No,No,No,No
104,No,No,No,No,No,Yes,No,No,No,Yes,No
105,No,No,No,No,No,No,No,No,No,No,No
106,Yes,Yes,No,No,No,No,No,No,No,No,Yes
107,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
108,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
109,No,No,No,No,Yes,No,No,No,Yes,No,No
110,No,No,No,No,Yes,Yes,No,No,No,No,No
111,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No
112,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
113,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
114,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No
115,No,Yes,No,No,No,No,No,No,Yes,Yes,No
116,No,No,No,No,No,No,No,No,No,No,No
117,Yes,No,No,No,No,No,No,No,No,No,No
118,No,No,Yes,No,No,No,Yes,No,No,No,Yes
119,No,No,Yes,No,No,No,No,Yes,No,No,No
120,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No
121,Yes,No,No,No,No,No,Yes,No,No,Yes,No
122,No,No,No,No,No,Yes,No,Yes,No,No,Yes
123,No,No,No,Yes,Yes,No,No,No,No,No,No
124,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
125,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes
126,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No
