texture,perimeter,smoothness,concavity,symmetry,fractal dimension
16.67,98.64,0.1162,0.169,0.2157,0.06768
17.89,103.6,0.0971,0.09954,0.1842,0.06082
30.96,139.8,0.1528,0.3977,0.2293,0.06091
2.635,4.091,0.01004,0.04763,0.01715,0.005528
1.002,2.406,0.005731,0.03553,0.02143,0.003749
18.9,129.5,0.115,0.2197,0.1792,0.06552
14.86,104.3,0.09495,0.055,0.1735,0.05875
0.9197,3.008,0.005776,0.03695,0.02789,0.002665
1.633,6.146,0.006717,0.04638,0.02747,0.005838
1.025,1.74,0.004854,0.01826,0.01386,0.002304
1.974,1.954,0.006538,0.01376,0.03416,0.002928
25.47,89,0.1287,0.2216,0.2226,0.08486
10.94,87.91,0.1291,0.06877,0.2403,0.06641
0.857,1.928,0.003818,0.02882,0.0191,0.002808
19.68,78.78,0.1345,0.1797,0.2329,0.08134
18.45,63.3,0.1641,0.1754,0.2983,0.1049
22.94,78.28,0.1213,0.1916,0.294,0.07587
33.39,114.6,0.1648,0.3024,0.3321,0.08911
20.52,88.64,0.1106,0.1445,0.2116,0.07325
18.24,75.71,0.08261,0.01972,0.1868,0.0611
25.8,195,0.1294,0.4756,0.2741,0.08574
25.07,146,0.1665,0.5308,0.3032,0.08075
23.58,100.3,0.1157,0.08115,0.2364,0.07182
31.69,117.7,0.1389,0.2712,0.2675,0.07873
22.22,82.01,0.06251,0.001595,0.1395,0.05234
24.59,122,0.09029,0.1468,0.1953,0.05629
17.07,73.7,0.07561,0.008306,0.1671,0.05731
31.59,156.1,0.119,0.4098,0.3689,0.08368
21.57,85.24,0.08582,0.03344,0.1815,0.05696
19.62,91.12,0.106,0.1126,0.1669,0.06544
1.621,2.24,0.006543,0.02991,0.01844,0.00269
15.45,75.03,0.115,0.04006,0.2009,0.06506
0.7339,3.398,0.005225,0.0186,0.01389,0.003532
1.385,2.177,0.004775,0.01947,0.0187,0.002626
24.81,128.3,0.09081,0.2107,0.231,0.06343
0.7712,1.689,0.005324,0.0151,0.02104,0.001887
23.21,100.4,0.1044,0.1697,0.1737,0.06672
1.13,2.388,0.01546,0.02197,0.03997,0.003901
19.76,95.5,0.08421,0.01947,0.1515,0.05266
23.94,97.4,0.1172,0.1267,0.1953,0.06654
23.31,74.22,0.1219,0.07987,0.2826,0.07552
49.54,126.3,0.1883,0.5703,0.3512,0.1204
23.13,95.23,0.1427,0.3206,0.2819,0.1118
26.3,130.7,0.1168,0.2318,0.281,0.07228
1.922,2.747,0.00468,0.05774,0.0256,0.004613
15.04,78.61,0.07926,0.01053,0.1546,0.05754
24.39,73.07,0.1301,0.3486,0.2614,0.1162
1.46,2.204,0.01,0.04861,0.02187,0.006005
18.32,94.94,0.1393,0.1848,0.3227,0.09326
1.232,1.657,0.006054,0.005681,0.01215,0.001514
1.571,1.183,0.00508,0.01069,0.01447,0.001532
17.84,86.24,0.07948,0.01997,0.1573,0.0552
25.13,82.61,0.08369,0.01206,0.1667,0.05449
22.61,93.6,0.1131,0.2128,0.2069,0.07682
1.493,1.497,0.007189,0.01081,0.02158,0.002619
17.07,63.34,0.1179,0.1544,0.1652,0.07722
26.39,174.9,0.1438,0.681,0.3643,0.09223
27.95,102.8,0.1786,0.5006,0.39,0.1179
17.91,88.12,0.07944,0.02881,0.1473,0.0558
1.189,3.767,0.00502,0.03457,0.01298,0.002887
1.486,2.108,0.01039,0.006416,0.02869,0.004821
23.77,88.54,0.08043,0.04697,0.1773,0.05429
1.907,3.149,0.006587,0.01737,0.01835,0.002318
1.879,2.121,0.01094,0.03996,0.03759,0.004623
19.65,104.1,0.09168,0.09769,0.1798,0.05391
12.96,68.69,0.07515,0.00309,0.1442,0.05743
22.72,78.75,0.06935,0.07943,0.1203,0.06659
18.87,118.7,0.09746,0.113,0.1807,0.05664
21.59,86.57,0.1526,0.149,0.2804,0.08024
23.05,122.1,0.1377,0.5897,0.3318,0.09136
1.285,1.535,0.005608,0.01529,0.01909,0.002133
0.8561,3.002,0.00486,0.02602,0.01226,0.002759
19.54,82.67,0.09136,0.01797,0.1861,0.06347
0.8423,2.304,0.004123,0.01996,0.01055,0.003237
17.67,80.98,0.07896,0.01402,0.1459,0.05544
0.9489,2.989,0.006985,0.03011,0.01602,0.003884
30.72,86.34,0.09245,0.02819,0.1375,0.06016
21.26,72.48,0.08759,0.05133,0.1487,0.06529
0.4966,2.276,0.004119,0.03644,0.01391,0.003204
13.44,77.83,0.11,0.03781,0.1657,0.06608
1.041,3.705,0.00582,0.04252,0.01527,0.006299
18.77,108.8,0.1066,0.1948,0.1876,0.06684
21.57,81.41,0.1327,0.2939,0.302,0.09646
1.41,7.337,0.006174,0.04644,0.01145,0.00512
10.89,94.28,0.1101,0.08842,0.1856,0.06402
1.073,3.854,0.007026,0.03188,0.01689,0.004142
27.21,85.09,0.1426,0.1164,0.3075,0.07351
18.7,77.93,0.1109,0.1218,0.2301,0.07799
0.6594,2.346,0.006494,0.03137,0.01731,0.004392
14.83,70.31,0.07741,0.02712,0.1535,0.06214
0.7693,2.597,0.00591,0.007066,0.02223,0.002378
21.68,59.75,0.07969,0.03735,0.1274,0.06724
21,111.8,0.1119,0.1508,0.1727,0.06071
16.91,87.38,0.1142,0.145,0.2432,0.1009
0.9173,2.464,0.004563,0.03872,0.01388,0.004081
29.41,179.1,0.1407,0.6599,0.2929,0.09873
18.16,73.59,0.08853,0.03344,0.1411,0.06243
0.8339,2.097,0.004675,0.01603,0.01095,0.001629
22.76,100.2,0.092,0.1122,0.1717,0.06097
1.978,2.158,0.01288,0.01865,0.0156,0.005824
0.9195,1.83,0.004235,0.01457,0.01528,0.001593
12.44,60.34,0.1024,0.02956,0.1815,0.06905
0.6575,4.119,0.006211,0.02681,0.01276,0.001711
0.8568,2.193,0.004757,0.02332,0.01394,0.002362
25.63,99.43,0.1425,0.1935,0.2849,0.09031
36.33,117.7,0.1732,0.5911,0.3013,0.1067
32.29,107.4,0.106,0.1611,0.2722,0.06956
1.905,2.877,0.01574,0.08099,0.03418,0.006517
15.67,61.5,0.09037,0.01103,0.2081,0.06312
16.94,94.89,0.08924,0.03346,0.1573,0.05703
0.7706,2.677,0.004577,0.0384,0.01873,0.003373
17.27,62.92,0.1089,0.01756,0.1934,0.06285
1.154,2.554,0.008998,0.01851,0.02152,0.003213
16.07,87.84,0.08302,0.02556,0.1872,0.05669
27.01,91.63,0.09402,0.1838,0.2488,0.08151
33.47,111.8,0.1851,0.4024,0.3383,0.1031
20.31,101.2,0.09597,0.06593,0.1618,0.05549
14.82,72.42,0.09312,0.02884,0.2143,0.06643
33.22,121.2,0.166,0.4029,0.2654,0.09438
2.011,1.66,0.01052,0.01714,0.02279,0.004237
14.76,84.74,0.07355,0.03261,0.1386,0.05318
14.06,87.32,0.1071,0.05786,0.1779,0.06639
1.202,3.766,0.006001,0.02855,0.01492,0.002205
1.023,0.9887,0.01027,0.02613,0.02277,0.00589
1.014,2.652,0.0134,0.01162,0.02572,0.006164
17.64,87.76,0.0995,0.04548,0.1732,0.06088
0.4607,1.103,0.00604,0.01514,0.01344,0.002206
25.58,82.76,0.1363,0.1412,0.2251,0.07732
25.45,117.2,0.1338,0.1663,0.2394,0.06469
16.17,83.18,0.09879,0.03296,0.1735,0.062
2.324,2.105,0.006307,0.0385,0.01185,0.003589
21.97,123.7,0.1018,0.1594,0.1943,0.06132
16.17,75.49,0.1128,0.04279,0.1853,0.06401
17.16,82.96,0.1431,0.1922,0.2772,0.08756
32.85,220.8,0.1472,0.534,0.2856,0.08082
30.39,153.9,0.1514,0.5936,0.3266,0.09009
18.8,109.3,0.08865,0.08422,0.1893,0.05534
1.563,2.087,0.008872,0.05946,0.02793,0.004775
1.288,5.353,0.007997,0.03737,0.02897,0.003996
18.14,75,0.09968,0.02685,0.1619,0.06287
1.528,2.974,0.00968,0.03476,0.02434,0.006995
1.057,2.829,0.004351,0.03371,0.02598,0.003087
1.178,2.927,0.007781,0.02973,0.01635,0.003601
27.26,139.9,0.1338,0.3446,0.2341,0.07421
1.187,2.466,0.004029,0.01101,0.0146,0.003042
22.44,71.49,0.09566,0.04824,0.203,0.06552
19.97,102.4,0.116,0.1891,0.1929,0.06744
21.9,82.04,0.1352,0.2596,0.2941,0.0918
0.5391,1.475,0.006153,0.01693,0.01651,0.002551
15.91,60.21,0.08464,0.01652,0.1551,0.06403
1.924,2.287,0.005841,0.007936,0.01564,0.002985
16.32,81.25,0.1158,0.05928,0.1943,0.06612
19.85,108.6,0.1316,0.3103,0.2691,0.07683
27.28,136.5,0.1396,0.3965,0.3792,0.1048
1.321,4.722,0.005539,0.02664,0.01332,0.002256
1.802,4.037,0.01061,0.03915,0.02186,0.003949
0.6999,7.561,0.003978,0.03576,0.01518,0.003796
15.65,73.23,0.1343,0.08615,0.2937,0.07722
27.26,112.1,0.1153,0.2512,0.2534,0.07858
0.873,2.117,0.006715,0.04757,0.01838,0.006884
1.352,8.867,0.005687,0.06329,0.01924,0.004614
19.86,71.94,0.1054,0.005006,0.194,0.06028
30.88,123.4,0.1464,0.2914,0.3029,0.08216
39.34,101.7,0.1785,0.4425,0.3215,0.1205
30.36,84.48,0.1311,0.1609,0.2599,0.08251
21.33,83.67,0.1144,0.09203,0.2785,0.07408
12.39,78.85,0.1028,0.03987,0.1959,0.05955
10.91,76.14,0.08872,0.02606,0.1601,0.05541
23.24,102.7,0.08206,0.03299,0.1528,0.05697
17.77,132.9,0.08474,0.0869,0.1812,0.05667
0.3621,1.974,0.005472,0.02039,0.01523,0.002881
16.15,120.2,0.1065,0.1684,0.2152,0.06673
1.666,8.83,0.006548,0.09723,0.05333,0.007646
0.6124,1.036,0.004394,0.01451,0.01291,0.002074
23.04,137.2,0.09428,0.1097,0.1769,0.05278
27.54,96.73,0.1139,0.1639,0.2303,0.07077
26.84,71.98,0.1402,0.1055,0.2894,0.07664
17.21,88.44,0.08785,0.0142,0.1614,0.0589
0.8135,3.369,0.004929,0.07683,0.01526,0.008133
26.06,143.4,0.1309,0.2544,0.3251,0.07625
23.53,95.78,0.1199,0.1742,0.2518,0.0696
24.9,87.78,0.1377,0.2267,0.3379,0.07924
42.79,128.7,0.1417,1.17,0.4089,0.1409
0.8749,3.466,0.006965,0.07926,0.01499,0.005784
26.27,186.9,0.1084,0.3635,0.2061,0.05623
18.47,188.5,0.1142,0.3201,0.1648,0.05525
23.73,107,0.08949,0.6783,0.2398,0.1082
0.8265,1.572,0.00328,0.0139,0.0138,0.001286
18.61,72.76,0.1049,0.04302,0.1927,0.06211
1.147,3.142,0.006003,0.02151,0.0152,0.001868
24.17,85.13,0.1402,0.3535,0.2709,0.08839
20.38,77.58,0.1425,0.2414,0.2597,0.09744
19.98,120.9,0.08923,0.0802,0.155,0.04996
0.6612,1.996,0.00647,0.0181,0.01898,0.001794
16.95,85.48,0.07937,0.02181,0.165,0.05701
23.98,112.8,0.1197,0.2417,0.2248,0.06382
1.457,2.961,0.01056,0.05839,0.04022,0.006187
27.81,134.4,0.09159,0.1554,0.1448,0.05592
33.17,100.2,0.1241,0.1326,0.225,0.08321
12.22,65.75,0.09996,0.01923,0.18,0.06569
20.43,109.7,0.1135,0.1856,0.2177,0.08549
36.27,178.6,0.1281,0.4251,0.2818,0.1005
18.42,82.61,0.08983,0.02562,0.1467,0.05863
30.86,109.5,0.1431,0.3194,0.2718,0.09353
0.895,1.804,0.00398,0.03669,0.01581,0.003956
1.247,3.267,0.006836,0.02348,0.01942,0.002713
17.5,97.9,0.1072,0.03517,0.1859,0.0681
27.87,88.83,0.1208,0.162,0.2406,0.07729
20.76,82.15,0.09933,0.1065,0.1735,0.0707
1.342,1.517,0.009719,0.007975,0.0221,0.002472
1.53,4.369,0.007548,0.03914,0.02168,0.004445
2.06,3.479,0.003443,0.03056,0.0152,0.001519
0.9938,1.143,0.005133,0.01434,0.01501,0.001588
16.33,87.76,0.09277,0.01752,0.1631,0.06155
26.36,139.2,0.1234,0.3538,0.3206,0.06938
19.59,86.65,0.1096,0.1423,0.2482,0.06306
1.217,1.641,0.007899,0.008534,0.02637,0.003761
22.68,96.39,0.08473,0.1029,0.1454,0.06147
1.033,2.587,0.005043,0.02117,0.01282,0.001892
1.186,6.487,0.006804,0.03446,0.01897,0.004045
22.82,76.51,0.1143,0.603,0.2597,0.12
16.84,51.71,0.086,0.01588,0.1769,0.06503
0.8554,4.106,0.005038,0.01946,0.02294,0.002581
2.426,2.15,0.009861,0.04275,0.02475,0.002128
20.2,107.1,0.07497,0.03649,0.1846,0.05325
16.34,87.21,0.07685,0.01857,0.1353,0.05953
31.56,67.03,0.1548,0.09412,0.2878,0.09211
1.426,2.281,0.005427,0.04649,0.05628,0.004635
0.7452,9.635,0.005753,0.03976,0.02201,0.002897
1.238,1.234,0.007595,0.01412,0.01792,0.001784
2.11,2.112,0.00797,0.1166,0.05113,0.01172
21.4,86.67,0.158,0.1889,0.3155,0.07538
25.62,70.88,0.1234,0.1277,0.3174,0.08524
1.409,1.75,0.0138,0.008347,0.01798,0.004261
38.54,145.4,0.1401,0.6399,0.2972,0.09075
17.7,105,0.1254,0.7727,0.2639,0.1178
1.033,2.879,0.005607,0.04741,0.01857,0.005466
31.67,115.9,0.1084,0.226,0.2683,0.06829
28.01,100.9,0.1118,0.04753,0.2513,0.06911
0.8249,2.427,0.005072,0.02185,0.01719,0.003317
30.36,116.2,0.1446,0.5186,0.3591,0.1014
1.433,2.765,0.005444,0.01622,0.01419,0.002751
24.37,99.31,0.1456,0.1246,0.2582,0.08893
0.7294,1.848,0.005488,0.02322,0.01428,0.002422
13.86,59.2,0.07721,0.05988,0.2341,0.06963
18.6,81.09,0.09965,0.08005,0.1925,0.06373
22.99,74.32,0.1419,0.08434,0.2502,0.09209
1.044,2.497,0.006953,0.02701,0.01782,0.003586
18.83,73.3,0.1216,0.1689,0.2196,0.0795
17.72,78.07,0.1029,0.04783,0.1937,0.06161
1.048,4.792,0.004057,0.04029,0.01686,0.003318
13.98,98.22,0.1031,0.145,0.2086,0.07406
18.61,66.86,0.1068,0.02297,0.1482,0.066
0.9429,1.429,0.005954,0.05028,0.0175,0.004031
0.5417,1.101,0.005212,0.02443,0.01818,0.004868
32.94,106,0.1794,0.3381,0.3651,0.1183
23.23,87.19,0.09246,0.02974,0.1664,0.05801
23.31,69.35,0.09794,0.03986,0.2699,0.06736
16.02,83.14,0.1005,0.06155,0.173,0.0647
25.11,124.8,0.1064,0.2319,0.2183,0.06197
18.29,106.6,0.09686,0.05862,0.1495,0.05593
19.16,65.74,0.1504,0.07161,0.2757,0.08178
18.91,123.4,0.08217,0.09271,0.1946,0.05044
14.08,77.25,0.07734,0.01123,0.1673,0.05649
14.65,78.11,0.1152,0.0371,0.1995,0.07839
0.5066,1.372,0.00423,0.01169,0.01943,0.002177
32.72,141.3,0.1392,0.2432,0.2311,0.09203
30.04,97.66,0.1005,0.1453,0.2446,0.07024
19.38,100,0.0784,0.04209,0.1547,0.05443
14.09,78.78,0.08108,0.06839,0.1646,0.06154
20.13,94.74,0.09867,0.07395,0.1586,0.05922
25.22,86.6,0.1217,0.1943,0.3113,0.08132
31.82,99,0.1162,0.2282,0.2871,0.06917
27.06,86.54,0.1289,0.04506,0.288,0.08083
1.481,5.82,0.004631,0.03109,0.01575,0.002747
15.77,76.53,0.1367,0.08669,0.2102,0.06784
17.92,78.41,0.08685,0.03211,0.1966,0.05597
14.2,112.5,0.1541,0.4004,0.2557,0.08181
22.47,81.72,0.09055,0.04711,0.1585,0.06065
19.31,82.61,0.0806,0.000692,0.1819,0.05501
12.87,61.49,0.1634,0.0973,0.2378,0.09502
0.5906,1.921,0.004117,0.02975,0.01295,0.002436
29.66,113.3,0.1574,0.5106,0.3585,0.1109
0.5477,1.348,0.005682,0.008496,0.01938,0.002371
1.532,1.199,0.007881,0.007004,0.01939,0.002222
15.98,102.8,0.1313,0.256,0.2889,0.08006
20.53,84.93,0.161,0.2247,0.3343,0.09215
0.8737,3.654,0.005089,0.03052,0.01057,0.003391
20.98,86.82,0.09293,0.003581,0.2233,0.05521
19.63,85.84,0.09048,0.05858,0.1598,0.05671
21.19,80.88,0.1389,0.1804,0.2664,0.07809
1.017,5.865,0.006494,0.03391,0.01356,0.001997
20.26,109.7,0.08772,0.0695,0.2026,0.05223
27.99,66.61,0.1086,0.1868,0.2376,0.09206
