MONTH,BH,HB,JCLB,JCMC,SQ,TB,BQ
2018-11-01,170,-0.010821,水产品,活鲤鱼,9.29,0.087951,9.19
2018-11-01,171,-0.009995,水产品,活福寿鱼,8.98,0.135421,8.89
2018-11-01,172,-0.021671,水产品,活草鱼,8.85,0.031063,8.65
2018-11-01,173,-0.008416,水产品,活大头鱼,10.6,0.156847,10.51
2018-11-01,174,0.000572,水产品,冰鲜带鱼,32.83,0.003469,32.85
2018-11-01,175,-0.048636,水产品,冰鲜黄花鱼,23.63,-0.159359,22.48
2018-11-01,176,0.106336,水产品,冰鲜红三鱼,35.15,-0.016982,38.89
2018-11-01,177,-0.05805,水产品,活基围虾,44.25,0.008816,41.68
2019-02-01,329,0.082257,水产品,活鲤鱼,9.37,0.057013,10.14
2019-02-01,330,0.064519,水产品,活福寿鱼,8.77,0.045293,9.34
2019-02-01,331,0.059936,水产品,活草鱼,8.71,-0.021402,9.24
2019-02-01,332,0.055347,水产品,活大头鱼,10.28,0.052254,10.84
2019-02-01,333,0.081252,水产品,冰鲜带鱼,34.84,0.010869,37.67
2019-02-01,334,0.056978,水产品,冰鲜黄花鱼,23.61,-0.151774,24.95
2019-02-01,335,0.060451,水产品,冰鲜红三鱼,40.58,-0.014499,43.03
2019-02-01,336,0.113771,水产品,活基围虾,46.18,-0.106224,51.43
2018-12-01,223,-0.001835,水产品,活鲤鱼,9.19,0.083727,9.18
2018-12-01,224,-0.038759,水产品,活福寿鱼,8.89,0.099052,8.54
2018-12-01,225,-0.021992,水产品,活草鱼,8.65,0.016176,8.46
2018-12-01,226,-0.007047,水产品,活大头鱼,10.51,0.194436,10.44
2018-12-01,227,0.04515,水产品,冰鲜带鱼,32.85,0.039973,34.33
2018-12-01,228,-0.020583,水产品,冰鲜黄花鱼,22.48,-0.166975,22.02
2018-12-01,229,0.023014,水产品,冰鲜红三鱼,38.89,0.013597,39.78
2018-12-01,230,-0.009972,水产品,活基围虾,41.68,-0.023927,41.27
2019-01-01,276,0.020612,水产品,活鲤鱼,9.18,0.114745,9.37
2019-01-01,277,0.026489,水产品,活福寿鱼,8.54,0.123742,8.77
2019-01-01,278,0.029415,水产品,活草鱼,8.46,0.040232,8.71
2019-01-01,279,-0.015761,水产品,活大头鱼,10.44,0.160382,10.28
2019-01-01,280,0.014757,水产品,冰鲜带鱼,34.33,0.033066,34.84
2019-01-01,281,0.072278,水产品,冰鲜黄花鱼,22.02,-0.146868,23.61
2019-01-01,282,0.019995,水产品,冰鲜红三鱼,39.78,0.033838,40.58
2019-01-01,283,0.119079,水产品,活基围虾,41.27,0.013493,46.18
2019-03-01,382,-0.058686,水产品,活鲤鱼,10.14,-0.009927,9.54
2019-03-01,383,-0.062269,水产品,活福寿鱼,9.34,0.007938,8.75
2019-03-01,384,-0.083799,水产品,活草鱼,9.24,-0.050455,8.46
2019-03-01,385,-0.066226,水产品,活大头鱼,10.84,0.036792,10.13
2019-03-01,386,-0.163901,水产品,冰鲜带鱼,37.67,-0.04834,31.49
2019-03-01,387,-0.068762,水产品,冰鲜黄花鱼,24.95,-0.136705,23.24
2019-03-01,388,-0.097304,水产品,冰鲜红三鱼,43.03,-0.020453,38.84
2019-03-01,389,-0.126066,水产品,活基围虾,51.43,-0.168595,44.95
2018-08-01,11,-0.013765,水产品,活鲤鱼,9.41,0.112475,9.28
2018-08-01,12,-0.000455,水产品,活福寿鱼,8.85,0.141563,8.84
