MONTH,BH,HB,JCLB,JCMC,SQ,TB,BQ
2018-11-01,179,-0.028884,蔬菜,生姜,7.33,-0.081577,7.12
2018-11-01,180,-0.069219,蔬菜,蒜头,5.71,-0.159773,5.32
2018-11-01,181,-0.29444,蔬菜,大白菜,2.9,-0.007801,2.05
2018-11-01,182,-0.123866,蔬菜,卷心菜,2.8,-0.071917,2.46
2018-11-01,183,-0.304283,蔬菜,菠菜,7.32,-0.166791,5.09
2018-11-01,184,-0.201476,蔬菜,上海青,4.39,-0.069918,3.51
2018-11-01,185,-0.232718,蔬菜,芹菜,7.97,-0.039168,6.11
2018-11-01,186,-0.155987,蔬菜,韭菜,5.53,0.057792,4.67
2018-11-01,187,-0.24488,蔬菜,油麦菜,5.04,-0.029335,3.8
2018-11-01,188,-0.220364,蔬菜,菜心,5.63,-0.066798,4.39
2018-11-01,189,-0.335009,蔬菜,生菜,5.38,-0.106221,3.58
2018-11-01,190,-0.056288,蔬菜,蒜苗,7.25,0.055312,6.85
2018-11-01,191,0.022368,蔬菜,冬瓜,2.29,0.125779,2.35
2018-11-01,192,-0.220793,蔬菜,黄瓜,4.83,-0.027227,3.76
2018-11-01,193,-0.180718,蔬菜,西红柿,6.92,0.261533,5.67
2018-11-01,194,-0.053689,蔬菜,茄子,4.49,-0.011416,4.25
2018-11-01,195,-0.222162,蔬菜,白萝卜,2.3,-0.130666,1.79
2018-11-01,196,-0.040648,蔬菜,胡萝卜,3.59,0.14473,3.45
2018-11-01,197,-0.151743,蔬菜,尖椒,5.99,0.219824,5.08
2018-11-01,198,-0.159573,蔬菜,青圆椒,8.39,0.412341,7.05
2018-11-01,199,-0.080348,蔬菜,豆角,5.67,-0.021384,5.21
2018-11-01,200,-0.104779,蔬菜,白花菜,6.85,0.164711,6.14
2018-11-01,201,-0.05734,蔬菜,土豆,3.35,0.06606,3.16
2018-11-01,202,-0.200467,蔬菜,西芹,6.04,0.13949,4.83
2018-11-01,203,-0.146552,蔬菜,丝瓜,6.76,-0.021547,5.77
2018-11-01,204,-0.219542,蔬菜,莴笋,4.41,-0.075864,3.44
2018-11-01,205,-0.271668,蔬菜,西洋菜,6.87,-0.086148,5
2018-11-01,206,-0.13285,蔬菜,芥菜,4.69,-0.001995,4.07
2018-11-01,207,-0.079355,蔬菜,通心菜,4.69,0.013351,4.32
2018-11-01,208,-0.21219,蔬菜,芥兰,6.28,-0.033291,4.95
2018-11-01,209,-0.063471,蔬菜,南瓜,2.26,-0.092773,2.12
2018-11-01,210,-0.009434,蔬菜,莲藕,4.84,-0.02343,4.8
2018-11-01,211,-0.143841,蔬菜,奶白菜,5.41,0.016174,4.63
2018-11-01,212,-0.151234,蔬菜,苦瓜,5.94,-0.027383,5.04
2019-02-01,338,0.018637,蔬菜,生姜,7.06,0.012441,7.19
2019-02-01,339,0.073067,蔬菜,蒜头,5.6,-0.077751,6.01
2019-02-01,340,0.212162,蔬菜,大白菜,1.85,0.132327,2.24
2019-02-01,341,0.127214,蔬菜,卷心菜,2.23,-0.007311,2.52
2019-02-01,342,0.011614,蔬菜,菠菜,5.53,-0.115577,5.59
2019-02-01,343,0.059965,蔬菜,上海青,4.12,-0.079205,4.36
2018-12-01,232,-0.010592,蔬菜,生姜,7.12,-0.075121,7.04
2018-12-01,233,0.015199,蔬菜,蒜头,5.32,-0.176116,5.4
2018-12-01,234,-0.147382,蔬菜,大白菜,2.05,-0.035465,1.75
2018-12-01,235,-0.06721,蔬菜,卷心菜,2.46,-0.127532,2.29
2018-12-01,236,0.008609,蔬菜,菠菜,5.09,-0.053734,5.13
2018-12-01,237,0.027973,蔬菜,上海青,3.51,0.036768,3.61
2018-12-01,238,-0.173375,蔬菜,芹菜,6.11,-0.107289,5.05
2018-12-01,239,0.005777,蔬菜,韭菜,4.67,0.047653,4.7
2018-12-01,240,-0.065522,蔬菜,油麦菜,3.8,-0.042252,3.56
2018-12-01,241,0.057839,蔬菜,菜心,4.39,-0.153271,4.65
2018-12-01,242,-0.111825,蔬菜,生菜,3.58,-0.067367,3.18
2018-12-01,243,0.000049,蔬菜,蒜苗,6.85,0.059374,6.85
2018-12-01,244,-0.016205,蔬菜,冬瓜,2.35,0.084859,2.31
2018-12-01,245,0.242161,蔬菜,黄瓜,3.76,0.192421,4.67
2018-12-01,246,-0.099549,蔬菜,西红柿,5.67,0.174497,5.1
2018-12-01,247,0.018977,蔬菜,茄子,4.25,-0.05075,4.33
2018-12-01,248,-0.044399,蔬菜,白萝卜,1.79,-0.06367,1.71
2018-12-01,249,-0.016614,蔬菜,胡萝卜,3.45,0.09225,3.39
2018-12-01,250,-0.259374,蔬菜,尖椒,5.08,-0.174971,3.76
2018-12-01,251,-0.221902,蔬菜,青圆椒,7.05,0.06159,5.49
