MONTH,HB_水产品,类别,JCMC_水产品,SQ_水产品,TB_水产品,BQ_水产品,MONTH,类别,JKMC_肉类,HB_肉类,SQ_肉类,TB_肉类,BQ_肉类,MONTH,HB_蔬菜,类别,JCMC,SQ_蔬菜,TB_蔬菜,BQ_蔬菜
2018/11/1,-0.010821,水产品,活鲤鱼,9.29,0.087951,9.19,2018/11/1,肉蛋,五花肉,0.008926,13.82,-0.020062,13.95,2018/11/1,-0.028884,蔬菜,生姜,7.33,-0.081577,7.12
2018/11/1,-0.009995,水产品,活福寿鱼,8.98,0.135421,8.89,2018/11/1,肉蛋,肋排骨,0.020587,27,0.082752,27.56,2018/11/1,-0.069219,蔬菜,蒜头,5.71,-0.159773,5.32
2018/11/1,-0.021671,水产品,活草鱼,8.85,0.031063,8.65,2018/11/1,肉蛋,梅瘦肉,0.006025,19.1,0.007349,19.22,2018/11/1,-0.29444,蔬菜,大白菜,2.9,-0.007801,2.05
2018/11/1,-0.008416,水产品,活大头鱼,10.6,0.156847,10.51,2018/11/1,肉蛋,精瘦肉,-0.050223,17.46,-0.039477,16.58,2018/11/1,-0.123866,蔬菜,卷心菜,2.8,-0.071917,2.46
2018/11/1,0.000572,水产品,冰鲜带鱼,32.83,0.003469,32.85,2018/11/1,肉蛋,牛肉,-0.004926,43.39,0.005707,43.18,2018/11/1,-0.304283,蔬菜,菠菜,7.32,-0.166791,5.09
2018/11/1,-0.048636,水产品,冰鲜黄花鱼,23.63,-0.159359,22.48,2018/11/1,肉蛋,羊肉,0.029546,38.08,0.080163,39.21,2018/11/1,-0.201476,蔬菜,上海青,4.39,-0.069918,3.51
2018/11/1,0.106336,水产品,冰鲜红三鱼,35.15,-0.016982,38.89,2018/11/1,肉蛋,白条鸡,-0.009715,17.49,0.012919,17.32,2018/11/1,-0.232718,蔬菜,芹菜,7.97,-0.039168,6.11
2018/11/1,-0.05805,水产品,活基围虾,44.25,0.008816,41.68,2018/11/1,肉蛋,白条鸭,-0.002866,12.33,0.035798,12.3,2018/11/1,-0.155987,蔬菜,韭菜,5.53,0.057792,4.67
2019/2/1,0.082257,水产品,活鲤鱼,9.37,0.057013,10.14,2018/11/1,肉蛋,鸡蛋,-0.011133,6.15,0.106129,6.08,2018/11/1,-0.24488,蔬菜,油麦菜,5.04,-0.029335,3.8
2019/2/1,0.064519,水产品,活福寿鱼,8.77,0.045293,9.34,2019/2/1,肉蛋,后腿肉,-0.003207,13.19,-0.064519,13.15,2018/11/1,-0.220364,蔬菜,菜心,5.63,-0.066798,4.39
